event_id,mag,scaled_mag,depth_km,depth_category,felt,gap,sig,significant,region,station_network,local_claims_filed
us6000tgx1,4.5,0.4166666666666667,10,shallow,0,138,312,0,"Murghob, Tajikistan",PNSN-07,14
us6000tgwy,4.4,0.3958333333333334,10,shallow,0,149,298,0,"Coquimbo, Chile",CEA-12,8
us6000ti29,4.6,0.43749999999999994,21.547,shallow,0,90,326,0,"Abepura, Indonesia",PNSN-07,0
us6000ti26,4.4,0.3958333333333334,32.931,shallow,0,84,298,0,"Abepura, Indonesia",unknown,0
us6000ti28,4.4,0.3958333333333334,39.827,shallow,0,85,298,0,"Abepura, Indonesia",PNSN-07,3
us6000tgwu,4.8,0.47916666666666663,10,shallow,0,77,354,0,"Mago, Russia",USGS-WEST,11
us6000tgwt,4.8,0.47916666666666663,10,shallow,3,104,356,0,"Qarnābād, Iran",USGS-WEST,14
us6000ti27,4.5,0.4166666666666667,10,shallow,0,141,312,0,"Karligan, Philippines",unknown,0
aka2026oymslq,3.2,0.14583333333333337,17,shallow,15,48,162,0,"Knik River, Alaska",USGS-WEST,0
aka2026oylisv,2.7,0.041666666666666706,0.5,shallow,0,37,112,0,"Denali National Park, Alaska",unknown,0
us6000ti24,4.5,0.4166666666666667,10,shallow,0,132,312,0,Kermadec Islands region,CEA-12,7
us6000tgwd,5,0.5208333333333334,91.052,intermediate,51,142,407,1,"La Democracia, Guatemala",USGS-WEST,0
us6000ti23,4.1,0.33333333333333326,132.116,intermediate,0,77,259,0,"Ie, Japan",unknown,0
us6000tgw3,4.5,0.4166666666666667,98.375,intermediate,4,64,312,0,"La Tirana, Chile",PNSN-07,8
us6000th9m,2.6,0.020833333333333353,10,shallow,0,260,104,0,"Sand Point, Alaska",PNSN-07,2
us6000tgw4,4.7,0.45833333333333337,10,shallow,0,94,340,0,"Abepura, Indonesia",USGS-WEST,9
us6000tgw1,4.7,0.45833333333333337,10,shallow,0,101,340,0,Southwest Indian Ridge,PNSN-07,12
us6000ti21,4.3,0.375,38.129,shallow,0,90,284,0,"Abepura, Indonesia",SCEDC-01,5
us6000ti20,4.6,0.43749999999999994,10,shallow,0,94,326,0,Kermadec Islands region,SCEDC-01,14
us6000ti1z,4.1,0.33333333333333326,115.384,intermediate,0,111,259,0,"Tomakomai, Japan",SCEDC-01,15
us6000ti1y,4.6,0.43749999999999994,10,shallow,0,123,326,0,Kermadec Islands region,unknown,0
us6000ti1x,4.5,0.4166666666666667,20.157,shallow,0,93,312,0,"Abepura, Indonesia",SCEDC-01,4
us6000ti1w,4.9,0.5000000000000001,10,shallow,0,113,369,0,Kermadec Islands region,PNSN-07,3
us6000ti3s,5.6,0.6458333333333333,10,shallow,0,73,482,1,Kermadec Islands region,unknown,0
us6000tgvz,5.8,0.6875,10,shallow,0,62,518,1,Kermadec Islands region,SCEDC-01,0
us6000th9e,2.6,0.020833333333333353,32.012,shallow,0,223,104,0,"Adak, Alaska",PNSN-07,0
us6000ti1t,4.4,0.3958333333333334,35,shallow,0,129,298,0,"Lumatil, Philippines",unknown,0
us6000th9c,2.9,0.08333333333333331,63.129,shallow,0,202,129,0,"Sand Point, Alaska",unknown,0
us6000ti1u,4.6,0.43749999999999994,10,shallow,0,91,326,0,"Abepura, Indonesia",unknown,0
us6000ti3j,4.7,0.45833333333333337,10,shallow,0,90,340,0,"Abepura, Indonesia",unknown,0
us6000ti3i,4.9,0.5000000000000001,10,shallow,0,90,369,0,"Abepura, Indonesia",unknown,0
aka2026oygafq,2.8,0.062499999999999965,5,shallow,0,15,121,0,"Cantwell, Alaska",unknown,0
us6000tgvu,5.4,0.6041666666666667,10,shallow,0,36,449,1,"Abepura, Indonesia",USGS-WEST,8
aka2026oyfkso,2.5,0.0,5,shallow,0,253,96,0,"Atka, Alaska",USGS-WEST,14
us6000th8x,2.8,0.062499999999999965,35,shallow,0,211,121,0,"Sand Point, Alaska",unknown,0
aka2026oycnjv,2.5,0.0,16.1,shallow,0,223,96,0,"Adak, Alaska",SCEDC-01,11
pr71526743,3.39,0.1854166666666667,17.87,shallow,0,281,177,0,"Tierras Nuevas Poniente, Puerto Rico",unknown,0
us6000tgva,5.3,0.5833333333333334,10,shallow,0,99,432,1,"Panguna, Papua New Guinea",CEA-12,9
us6000tgvc,4.9,0.5000000000000001,10,shallow,0,122,369,0,"Kokopo, Papua New Guinea",PNSN-07,11
us6000ti1r,4,0.3125,9.722,shallow,0,111,246,0,"Honmachi, Japan",unknown,0
us6000ti1p,4.2,0.35416666666666674,105.614,intermediate,0,139,271,0,"Mawlaik, Burma (Myanmar)",unknown,0
us6000ti1m,4.2,0.35416666666666674,10,shallow,0,146,271,0,"Masohi, Indonesia",unknown,0
us6000ti1k,4.4,0.3958333333333334,10,shallow,0,125,298,0,"Minamata, Japan",unknown,0
aka2026oxwqls,2.5,0.0,2.7,shallow,0,267,96,0,"Sand Point, Alaska",CEA-12,14
us6000tgup,4.4,0.3958333333333334,35,shallow,0,182,298,0,"Puerto Madero, Mexico",unknown,0
us6000thuk,4.2,0.35416666666666674,581.709,deep,0,170,271,0,"Levuka, Fiji",USGS-WEST,3
us6000tguj,5.1,0.5416666666666666,10,shallow,0,67,400,1,Kermadec Islands region,PNSN-07,7
us6000thur,4.7,0.45833333333333337,10,shallow,0,215,340,0,Kermadec Islands region,CEA-12,10
us6000th2m,2.7,0.041666666666666706,10,shallow,0,192,112,0,"Attu Station, Alaska",PNSN-07,8
us6000thuj,4.8,0.47916666666666663,10,shallow,0,75,354,0,Kermadec Islands region,PNSN-07,6
us6000tguf,5.9,0.7083333333333335,14,shallow,0,39,536,1,Kermadec Islands region,unknown,0
us6000thui,4.6,0.43749999999999994,161.771,intermediate,0,145,326,0,Kermadec Islands region,SCEDC-01,10
us6000thuh,4.6,0.43749999999999994,10,shallow,0,136,326,0,"Pagar Alam, Indonesia",SCEDC-01,3
us6000tgud,5.5,0.625,10,shallow,0,42,465,1,Pacific-Antarctic Ridge,PNSN-07,11
us6000thug,5,0.5208333333333334,10,shallow,0,86,385,1,southern Mid-Atlantic Ridge,PNSN-07,14
us6000th1u,2.5,0.0,35,shallow,0,223,96,0,"Sand Point, Alaska",PNSN-07,0
hv75010117,2.7,0.041666666666666706,5.90999984741211,shallow,0,354,112,0,"Waikoloa, Hawaii",PNSN-07,1
us6000thue,5,0.5208333333333334,10,shallow,0,70,385,1,Tonga,PNSN-07,5
us6000tgtc,5.1,0.5416666666666666,10,shallow,0,70,400,1,Tonga,PNSN-07,0
us6000th1s,3.3,0.16666666666666663,73.893,intermediate,0,197,168,0,"Atka, Alaska",CEA-12,6
us6000tgt4,4.8,0.47916666666666663,6.099,shallow,0,83,354,0,"Honmachi, Japan",PNSN-07,2
us6000th1n,2.6,0.020833333333333353,10,shallow,0,252,104,0,"Rat Islands, Aleutian Islands, Alaska",PNSN-07,15
us6000th1k,2.7,0.041666666666666706,28.853,shallow,0,212,112,0,"Nikolski, Alaska",PNSN-07,12
us6000thuc,4.1,0.33333333333333326,550.559,deep,0,148,259,0,Fiji region,USGS-WEST,0
us6000thua,4.3,0.375,113.715,intermediate,0,136,284,0,"Kirakira, Solomon Islands",SCEDC-01,0
us6000tgs2,5.1,0.5416666666666666,10,shallow,0,34,400,1,northern Mid-Atlantic Ridge,CEA-12,6
us6000th1c,3,0.10416666666666667,17.079,shallow,0,232,138,0,"King Cove, Alaska",USGS-WEST,2
us6000thu9,4,0.3125,498.51,deep,0,192,246,0,"Pagan region, Northern Mariana Islands",USGS-WEST,1
us6000thu8,4.3,0.375,10,shallow,0,181,284,0,Tonga,PNSN-07,7
aka2026oxjcya,2.6,0.020833333333333353,11.9,shallow,0,245,104,0,"Atka, Alaska",SCEDC-01,0
us6000tgrk,5,0.5208333333333334,10,shallow,0,45,385,1,Tonga,SCEDC-01,6
hv75009922,2.98,0.1,34.02,shallow,0,211,137,0,"Naalehu, Hawaii",CEA-12,9
aka2026oxibnx,2.5,0.0,17.6,shallow,0,232,96,0,"King Cove, Alaska",CEA-12,9
aka2026oxhjrk,2.6,0.020833333333333353,5,shallow,0,240,104,0,"Atka, Alaska",SCEDC-01,9
us6000tgrb,4.3,0.375,245.625,intermediate,1,125,285,0,"Tomohon, Indonesia",CEA-12,4
us6000tgpr,5.4,0.6041666666666667,10,shallow,2,33,449,1,"Rapu-Rapu, Philippines",CEA-12,14
us6000tgu5,2.8,0.062499999999999965,31.237,shallow,0,209,121,0,"Atka, Alaska",PNSN-07,14
us6000tgpj,4.4,0.3958333333333334,17.649,shallow,2,63,298,0,"Valparaíso, Chile",USGS-WEST,4
us6000tgnu,5.1,0.5416666666666666,10,shallow,14,38,405,1,"Casuguran, Philippines",USGS-WEST,0
us6000tgnj,4.2,0.35416666666666674,10,shallow,2,88,272,0,"Mandalay, Burma (Myanmar)",CEA-12,14
us6000tgn1,4.6,0.43749999999999994,10,shallow,0,62,326,0,"Honmachi, Japan",SCEDC-01,0
us6000tgn0,5,0.5208333333333334,69.855,shallow,9,24,387,1,"Balangonan, Philippines",USGS-WEST,10
us6000tgmx,5.3,0.5833333333333334,10,shallow,4,73,434,1,"Tsunagi, Japan",USGS-WEST,13
us6000tgmy,5,0.5208333333333334,60.594,shallow,11,81,389,1,"Balangonan, Philippines",SCEDC-01,15
us6000tgmr,4.1,0.33333333333333326,136.113,intermediate,0,92,259,0,"Rat Islands, Aleutian Islands, Alaska",PNSN-07,10
pr2026210000,3.75,0.2604166666666667,12,shallow,0,283,216,0,"Cruz Bay, U.S. Virgin Islands",PNSN-07,7
us6000thu5,4.6,0.43749999999999994,10,shallow,0,118,326,0,Carlsberg Ridge,PNSN-07,15
us6000tgmj,4.4,0.3958333333333334,10,shallow,0,105,298,0,"Shimabara, Japan",unknown,0
us6000thu3,4.3,0.375,10,shallow,0,188,284,0,"Puerto Madero, Mexico",PNSN-07,0
us6000thu4,4.5,0.4166666666666667,10,shallow,0,156,312,0,"Kirakira, Solomon Islands",CEA-12,15
us6000tgm6,5.1,0.5416666666666666,51.137,shallow,0,57,400,1,South Sandwich Islands region,PNSN-07,13
pr71526613,3.03,0.11041666666666664,96.72,intermediate,0,272,141,0,"San Antonio, Puerto Rico",CEA-12,13
us6000thu2,4.6,0.43749999999999994,10,shallow,0,113,326,0,"Pondaguitan, Philippines",SCEDC-01,2
pr71526598,2.88,0.07916666666666665,29.33,shallow,0,238,128,0,"San Juan, Puerto Rico",PNSN-07,12
ci40663002,2.79,0.060416666666666674,13.12,shallow,1,32,120,0,"Lamont, CA",PNSN-07,14
us6000thu0,4.5,0.4166666666666667,10,shallow,0,118,312,0,"San Vicente, Philippines",PNSN-07,9
us6000tglt,4.5,0.4166666666666667,26.085,shallow,0,138,312,0,Tonga,PNSN-07,8
us6000tglq,4.1,0.33333333333333326,192.484,intermediate,0,52,259,0,"San Pedro de Atacama, Chile",PNSN-07,0
us6000tglr,4.6,0.43749999999999994,10,shallow,0,60,326,0,Tonga,unknown,0
us6000thtv,4.4,0.3958333333333334,27.294,shallow,0,133,298,0,"Koseda, Japan",SCEDC-01,2
us6000tglh,4.4,0.3958333333333334,10,shallow,0,106,298,0,"Aso, Japan",PNSN-07,13
us6000tgla,4.6,0.43749999999999994,10,shallow,0,111,326,0,"Aykol, China",PNSN-07,8
us6000tgml,4,0.3125,10,shallow,0,74,246,0,"Cërrik, Albania",SCEDC-01,13
us6000tgrw,3,0.10416666666666667,100.659,intermediate,0,167,138,0,"Rat Islands, Aleutian Islands, Alaska",SCEDC-01,12
us6000thtt,4.5,0.4166666666666667,10,shallow,0,130,312,0,"Ushuaia, Argentina",SCEDC-01,7
us6000tgkg,4.9,0.5000000000000001,525.916,deep,0,78,369,0,"Levuka, Fiji",CEA-12,1
us6000thts,4.4,0.3958333333333334,24.904,shallow,0,123,298,0,Tonga,CEA-12,0
us6000tgke,4.1,0.33333333333333326,35,shallow,0,188,259,0,"Puerto Madero, Mexico",USGS-WEST,0
us6000tgkd,5.1,0.5416666666666666,10,shallow,0,76,400,1,Tonga,PNSN-07,12
us6000tgk9,4,0.3125,40.393,shallow,0,135,246,0,"Ḩājjīābād, Iran",SCEDC-01,14
us6000tgk6,4.3,0.375,10,shallow,0,182,284,0,"Puerto Madero, Mexico",SCEDC-01,8
aka2026owhqej,2.5,0.0,5.5,shallow,0,182,96,0,"Attu Station, Alaska",USGS-WEST,10
us6000tgk8,5.1,0.5416666666666666,35,shallow,0,120,400,1,Kermadec Islands region,CEA-12,2
us6000tgl0,2.8,0.062499999999999965,10,shallow,0,123,121,0,"Adak, Alaska",USGS-WEST,9
aka2026owgput,2.9,0.08333333333333331,5,shallow,0,22,129,0,"Denali National Park, Alaska",unknown,0
us6000tgky,3.9,0.2916666666666667,8.969,shallow,0,182,234,0,"Attu Station, Alaska",CEA-12,0
nc75407567,3.05,0.1145833333333333,7.76,shallow,11,95,147,0,"Cloverdale, CA",SCEDC-01,8
us6000tgjx,4.8,0.47916666666666663,35,shallow,0,54,354,0,"Abepura, Indonesia",CEA-12,10
nc75407577,4.24,0.36250000000000004,5.92,shallow,240,31,397,0,"Cloverdale, CA",unknown,0
us6000tgjt,4.1,0.33333333333333326,10,shallow,0,129,259,0,"Xihai, China",PNSN-07,0
pr71526538,2.94,0.09166666666666666,11.88,shallow,0,294,133,0,"San Antonio, Puerto Rico",PNSN-07,5
us6000tgkk,2.9,0.08333333333333331,35,shallow,0,221,129,0,"Atka, Alaska",unknown,0
us6000thtl,4.3,0.375,531.303,deep,0,162,284,0,the Fiji Islands,USGS-WEST,0
us6000thtk,4.4,0.3958333333333334,35,shallow,0,126,298,0,"Sarangani, Philippines",PNSN-07,0
us6000thtj,4.3,0.375,35,shallow,0,202,284,0,"La Libertad, El Salvador",USGS-WEST,0
us6000tgje,5.4,0.6041666666666667,10,shallow,0,44,449,1,"Neiafu, Tonga",CEA-12,12
